INFO  2019-02-28 20:40:32,893 [loginfo] CNC Transfer  - Start
INFO  2019-02-28 20:40:33,408 [loginfo] FTP 10.120.90.48 VER.NC Download Success ~ 
INFO  2019-02-28 20:40:33,780 [loginfo] [InsertVER]  10.120.90.48 Success ~ 
INFO  2019-02-28 20:40:35,129 [loginfo] FTP 10.120.90.48 PRD3.NC Download Success ~ 
INFO  2019-02-28 20:40:35,170 [loginfo] [InsertPRD3_CurrentStatus]  10.120.90.48 Success ~ 
INFO  2019-02-28 20:40:59,054 [loginfo] CNC Transfer  - Start
INFO  2019-02-28 20:40:59,390 [loginfo] FTP 10.120.90.39 VER.NC Download Success ~ 
INFO  2019-02-28 20:40:59,490 [loginfo] [InsertVER]  10.120.90.39 Success ~ 
INFO  2019-02-28 20:41:00,562 [loginfo] FTP 10.120.90.39 PRD3.NC Download Success ~ 
INFO  2019-02-28 20:41:00,603 [loginfo] [InsertPRD3_CurrentStatus]  10.120.90.39 Success ~ 
INFO  2019-02-28 20:41:03,140 [loginfo] [CalcTime][1][2019/02/21 ~ [2019/02/22]] TIME:0
INFO  2019-02-28 20:41:03,389 [loginfo] [CalcTime][2][2019/02/21 ~ [2019/02/22]] TIME:0
INFO  2019-02-28 20:41:03,586 [loginfo] [CalcTime][3][2019/02/21 ~ [2019/02/22]] TIME:0
INFO  2019-02-28 20:41:03,795 [loginfo] [CalcTime][4][2019/02/21 ~ [2019/02/22]] TIME:0
INFO  2019-02-28 20:41:03,995 [loginfo] [CalcTime][5][2019/02/21 ~ [2019/02/22]] TIME:0
INFO  2019-02-28 20:41:04,310 [loginfo] [CalcTime][1][2019/02/22 ~ [2019/02/23]] TIME:0
INFO  2019-02-28 20:41:04,511 [loginfo] [CalcTime][2][2019/02/22 ~ [2019/02/23]] TIME:0
INFO  2019-02-28 20:41:04,711 [loginfo] [CalcTime][3][2019/02/22 ~ [2019/02/23]] TIME:0
INFO  2019-02-28 20:41:04,920 [loginfo] [CalcTime][4][2019/02/22 ~ [2019/02/23]] TIME:0
INFO  2019-02-28 20:41:05,228 [loginfo] [CalcTime][5][2019/02/22 ~ [2019/02/23]] TIME:0
INFO  2019-02-28 20:41:05,533 [loginfo] [CalcTime][1][2019/02/23 ~ [2019/02/24]] TIME:0
INFO  2019-02-28 20:41:05,738 [loginfo] [CalcTime][2][2019/02/23 ~ [2019/02/24]] TIME:0
INFO  2019-02-28 20:41:05,943 [loginfo] [CalcTime][3][2019/02/23 ~ [2019/02/24]] TIME:0
INFO  2019-02-28 20:41:06,147 [loginfo] [CalcTime][4][2019/02/23 ~ [2019/02/24]] TIME:0
INFO  2019-02-28 20:41:06,352 [loginfo] [CalcTime][5][2019/02/23 ~ [2019/02/24]] TIME:0
INFO  2019-02-28 20:41:06,661 [loginfo] [CalcTime][1][2019/02/24 ~ [2019/02/25]] TIME:0
INFO  2019-02-28 20:41:06,865 [loginfo] [CalcTime][2][2019/02/24 ~ [2019/02/25]] TIME:0
INFO  2019-02-28 20:41:07,195 [loginfo] [CalcTime][3][2019/02/24 ~ [2019/02/25]] TIME:0
INFO  2019-02-28 20:41:07,522 [loginfo] [CalcTime][4][2019/02/24 ~ [2019/02/25]] TIME:0
INFO  2019-02-28 20:41:07,788 [loginfo] [CalcTime][5][2019/02/24 ~ [2019/02/25]] TIME:0
INFO  2019-02-28 20:41:11,166 [loginfo] [CalcTime][2][2019/02/25 ~ [2019/02/26]] TIME:0
INFO  2019-02-28 20:41:11,368 [loginfo] [CalcTime][3][2019/02/25 ~ [2019/02/26]] TIME:0
INFO  2019-02-28 20:41:11,573 [loginfo] [CalcTime][4][2019/02/25 ~ [2019/02/26]] TIME:0
INFO  2019-02-28 20:41:11,779 [loginfo] [CalcTime][5][2019/02/25 ~ [2019/02/26]] TIME:0
INFO  2019-02-28 20:41:12,087 [loginfo] [CalcTime][1][2019/02/26 ~ [2019/02/27]] TIME:0
INFO  2019-02-28 20:41:12,296 [loginfo] [CalcTime][2][2019/02/26 ~ [2019/02/27]] TIME:0
INFO  2019-02-28 20:41:12,497 [loginfo] [CalcTime][3][2019/02/26 ~ [2019/02/27]] TIME:0
INFO  2019-02-28 20:41:12,676 [loginfo] [CalcTime][4][2019/02/26 ~ [2019/02/27]] TIME:0
INFO  2019-02-28 20:41:12,884 [loginfo] [CalcTime][5][2019/02/26 ~ [2019/02/27]] TIME:0
INFO  2019-02-28 20:41:13,213 [loginfo] [CalcTime][1][2019/02/27 ~ [2019/02/28]] TIME:0
INFO  2019-02-28 20:41:13,416 [loginfo] [CalcTime][2][2019/02/27 ~ [2019/02/28]] TIME:0
INFO  2019-02-28 20:41:13,604 [loginfo] [CalcTime][3][2019/02/27 ~ [2019/02/28]] TIME:0
INFO  2019-02-28 20:41:13,928 [loginfo] [CalcTime][4][2019/02/27 ~ [2019/02/28]] TIME:0
INFO  2019-02-28 20:41:14,133 [loginfo] [CalcTime][5][2019/02/27 ~ [2019/02/28]] TIME:0
INFO  2019-02-28 20:41:14,441 [loginfo] [CalcTime][1][2019/02/28 ~ [2019/03/01]] TIME:0
INFO  2019-02-28 20:41:14,647 [loginfo] [CalcTime][2][2019/02/28 ~ [2019/03/01]] TIME:0
INFO  2019-02-28 20:41:14,850 [loginfo] [CalcTime][3][2019/02/28 ~ [2019/03/01]] TIME:0
INFO  2019-02-28 20:41:15,055 [loginfo] [CalcTime][4][2019/02/28 ~ [2019/03/01]] TIME:0
INFO  2019-02-28 20:41:15,259 [loginfo] [CalcTime][5][2019/02/28 ~ [2019/03/01]] TIME:0
INFO  2019-02-28 20:41:15,690 [loginfo] FTP 10.120.90.39 ATCTL.NC Download Success ~ 
INFO  2019-02-28 20:41:19,373 [loginfo] [InsertATCTL]  10.120.90.39 Success ~ 
INFO  2019-02-28 20:41:19,778 [loginfo] FTP 10.120.90.39 WKCNTR.NC Download Success ~ 
INFO  2019-02-28 20:41:19,806 [loginfo] [InsertWKCNTR]  10.120.90.39 Success ~ 
INFO  2019-02-28 20:41:25,165 [loginfo] FTP 10.120.90.39 LOG.NC Download Success ~ 
INFO  2019-02-28 20:41:25,320 [loginfo] CNC Transfer  - End
